releve,indice,date_seance,cloture,variation_pct
2026-09-14,CAC 40,2026-09-11,8179.77,0.776
2026-09-15,S&P 500,2026-09-14,7619.98,-0.483
2026-09-15,Nasdaq 100,2026-09-14,29127.16,-0.822
2026-09-15,CAC 40,2026-09-14,8117.78,-0.758
2026-09-15,MSCI World (ETF URTH),2026-09-14,206.8,-0.429
2026-09-16,S&P 500,2026-09-15,7585.73,-0.449
2026-09-16,Nasdaq 100,2026-09-15,28937.84,-0.65
2026-09-16,CAC 40,2026-09-15,8090.28,-0.339
2026-09-16,MSCI World (ETF URTH),2026-09-15,205.63,-0.566
2026-09-17,S&P 500,2026-09-16,7551.81,-0.447
2026-09-17,Nasdaq 100,2026-09-16,28945.06,0.025
2026-09-17,CAC 40,2026-09-16,8140.59,0.622
2026-09-17,MSCI World (ETF URTH),2026-09-16,204.71,-0.447
2026-09-18,S&P 500,2026-09-17,7637.76,1.138
2026-09-18,Nasdaq 100,2026-09-17,29446.98,1.734
2026-09-18,CAC 40,2026-09-17,8186.93,0.569
2026-09-18,MSCI World (ETF URTH),2026-09-17,207.21,1.221
2026-09-21,S&P 500,2026-09-18,7650.5,0.167
2026-09-21,Nasdaq 100,2026-09-18,29644.17,0.67
2026-09-21,CAC 40,2026-09-18,8065.02,-1.489
2026-09-21,MSCI World (ETF URTH),2026-09-18,206.77,-0.212
2026-09-22,S&P 500,2026-09-21,7764.7,1.493
2026-09-22,Nasdaq 100,2026-09-21,30482.35,2.827
2026-09-22,CAC 40,2026-09-21,8138.94,0.917
2026-09-22,MSCI World (ETF URTH),2026-09-21,209.7,1.417
2026-09-23,S&P 500,2026-09-21,7764.7,1.493
2026-09-23,Nasdaq 100,2026-09-21,30482.35,2.827
2026-09-23,CAC 40,2026-09-21,8138.94,0.917
2026-09-23,MSCI World (ETF URTH),2026-09-21,209.7,1.417
